index,bindingTitle,bindingId,publicationId,date,issue,generalType,publisher,pageNumber,textHighlights,terms,url,copyrights,references
155,Helsingin Sanomat,1175131,0355-2047,1917-12-06,284,NEWSPAPER,Sanoma Oy,1,,,https://digi.kansalliskirjasto.fi/sanomalehti/binding/1175131?page=1,Aineistoon voi liittyä käytön rajoituksia.,"Helsingin Sanomat, 06.12.1917, nro 284, s. 1
https://digi.kansalliskirjasto.fi/sanomalehti/binding/1175131?page=1
Kansalliskirjaston digitaaliset aineistot"
45,Uusi Suometar,1199734,1457-4721,1917-12-06,284,NEWSPAPER,Uuden Suomettaren Oy,1,,,https://digi.kansalliskirjasto.fi/sanomalehti/binding/1199734?page=1,Aineistoon voi liittyä käytön rajoituksia.,"Uusi Suometar, 06.12.1917, nro 284, s. 1
https://digi.kansalliskirjasto.fi/sanomalehti/binding/1199734?page=1
Kansalliskirjaston digitaaliset aineistot"
252,Aamulehti,766427,0355-6913,1917-12-06,246,NEWSPAPER,Aamulehti Yhtymä Oy,1,,,https://digi.kansalliskirjasto.fi/sanomalehti/binding/766427?page=1,Aineistoon voi liittyä käytön rajoituksia.,"Aamulehti, 06.12.1917, nro 246, s. 1
https://digi.kansalliskirjasto.fi/sanomalehti/binding/766427?page=1
Kansalliskirjaston digitaaliset aineistot"
154,Helsingin Sanomat,1175132,0355-2047,1917-12-07,285,NEWSPAPER,Sanoma Oy,1,,,https://digi.kansalliskirjasto.fi/sanomalehti/binding/1175132?page=1,Aineistoon voi liittyä käytön rajoituksia.,"Helsingin Sanomat, 07.12.1917, nro 285, s. 1
https://digi.kansalliskirjasto.fi/sanomalehti/binding/1175132?page=1
Kansalliskirjaston digitaaliset aineistot"
44,Uusi Suometar,1199735,1457-4721,1917-12-07,285,NEWSPAPER,Uuden Suomettaren Oy,1,,,https://digi.kansalliskirjasto.fi/sanomalehti/binding/1199735?page=1,Aineistoon voi liittyä käytön rajoituksia.,"Uusi Suometar, 07.12.1917, nro 285, s. 1
https://digi.kansalliskirjasto.fi/sanomalehti/binding/1199735?page=1
Kansalliskirjaston digitaaliset aineistot"
253,Aamulehti,766426,0355-6913,1917-12-07,247,NEWSPAPER,Aamulehti Yhtymä Oy,1,,,https://digi.kansalliskirjasto.fi/sanomalehti/binding/766426?page=1,Aineistoon voi liittyä käytön rajoituksia.,"Aamulehti, 07.12.1917, nro 247, s. 1
https://digi.kansalliskirjasto.fi/sanomalehti/binding/766426?page=1
Kansalliskirjaston digitaaliset aineistot"
51,Uusi Suometar,1199728,1457-4721,1917-12-08,286,NEWSPAPER,Uuden Suomettaren Oy,1,,,https://digi.kansalliskirjasto.fi/sanomalehti/binding/1199728?page=1,Aineistoon voi liittyä käytön rajoituksia.,"Uusi Suometar, 08.12.1917, nro 286, s. 1
https://digi.kansalliskirjasto.fi/sanomalehti/binding/1199728?page=1
Kansalliskirjaston digitaaliset aineistot"
153,Helsingin Sanomat,1175133,0355-2047,1917-12-08,286,NEWSPAPER,Sanoma Oy,1,,,https://digi.kansalliskirjasto.fi/sanomalehti/binding/1175133?page=1,Aineistoon voi liittyä käytön rajoituksia.,"Helsingin Sanomat, 08.12.1917, nro 286, s. 1
https://digi.kansalliskirjasto.fi/sanomalehti/binding/1175133?page=1
Kansalliskirjaston digitaaliset aineistot"
251,Aamulehti,766428,0355-6913,1917-12-08,248,NEWSPAPER,Aamulehti Yhtymä Oy,1,,,https://digi.kansalliskirjasto.fi/sanomalehti/binding/766428?page=1,Aineistoon voi liittyä käytön rajoituksia.,"Aamulehti, 08.12.1917, nro 248, s. 1
https://digi.kansalliskirjasto.fi/sanomalehti/binding/766428?page=1
Kansalliskirjaston digitaaliset aineistot"
250,Aamulehti,766429,0355-6913,1917-12-09,249,NEWSPAPER,Aamulehti Yhtymä Oy,1,,,https://digi.kansalliskirjasto.fi/sanomalehti/binding/766429?page=1,Aineistoon voi liittyä käytön rajoituksia.,"Aamulehti, 09.12.1917, nro 249, s. 1
https://digi.kansalliskirjasto.fi/sanomalehti/binding/766429?page=1
Kansalliskirjaston digitaaliset aineistot"
152,Helsingin Sanomat,1175134,0355-2047,1917-12-09,287 A,NEWSPAPER,Sanoma Oy,1,,,https://digi.kansalliskirjasto.fi/sanomalehti/binding/1175134?page=1,Aineistoon voi liittyä käytön rajoituksia.,"Helsingin Sanomat, 09.12.1917, nro 287 A, s. 1
https://digi.kansalliskirjasto.fi/sanomalehti/binding/1175134?page=1
Kansalliskirjaston digitaaliset aineistot"
156,Helsingin Sanomat,1175130,0355-2047,1917-12-09,287 B,NEWSPAPER,Sanoma Oy,1,,,https://digi.kansalliskirjasto.fi/sanomalehti/binding/1175130?page=1,Aineistoon voi liittyä käytön rajoituksia.,"Helsingin Sanomat, 09.12.1917, nro 287 B, s. 1
https://digi.kansalliskirjasto.fi/sanomalehti/binding/1175130?page=1
Kansalliskirjaston digitaaliset aineistot"
41,Uusi Suometar,1199738,1457-4721,1917-12-09,287,NEWSPAPER,Uuden Suomettaren Oy,1,,,https://digi.kansalliskirjasto.fi/sanomalehti/binding/1199738?page=1,Aineistoon voi liittyä käytön rajoituksia.,"Uusi Suometar, 09.12.1917, nro 287, s. 1
https://digi.kansalliskirjasto.fi/sanomalehti/binding/1199738?page=1
Kansalliskirjaston digitaaliset aineistot"
150,Helsingin Sanomat,1175149,0355-2047,1917-12-10,288,NEWSPAPER,Sanoma Oy,1,,,https://digi.kansalliskirjasto.fi/sanomalehti/binding/1175149?page=1,Aineistoon voi liittyä käytön rajoituksia.,"Helsingin Sanomat, 10.12.1917, nro 288, s. 1
https://digi.kansalliskirjasto.fi/sanomalehti/binding/1175149?page=1
Kansalliskirjaston digitaaliset aineistot"
40,Uusi Suometar,1199739,1457-4721,1917-12-10,288,NEWSPAPER,Uuden Suomettaren Oy,1,,,https://digi.kansalliskirjasto.fi/sanomalehti/binding/1199739?page=1,Aineistoon voi liittyä käytön rajoituksia.,"Uusi Suometar, 10.12.1917, nro 288, s. 1
https://digi.kansalliskirjasto.fi/sanomalehti/binding/1199739?page=1
Kansalliskirjaston digitaaliset aineistot"
249,Aamulehti,766430,0355-6913,1917-12-11,250,NEWSPAPER,Aamulehti Yhtymä Oy,1,,,https://digi.kansalliskirjasto.fi/sanomalehti/binding/766430?page=1,Aineistoon voi liittyä käytön rajoituksia.,"Aamulehti, 11.12.1917, nro 250, s. 1
https://digi.kansalliskirjasto.fi/sanomalehti/binding/766430?page=1
Kansalliskirjaston digitaaliset aineistot"
